loss,accuracy,runtime,samples_per_second,steps_per_second,epoch
0.7402088046073914,0.7592857142857142,3.3935,825.113,51.57,1.0
0.5625798106193542,0.8439285714285715,3.3819,827.94,51.746,2.0
0.4673340618610382,0.8710714285714286,3.3576,833.923,52.12,3.0
0.47403720021247864,0.8725,3.3626,832.685,52.043,4.0
0.5936901569366455,0.8764285714285714,3.3634,832.479,52.03,5.0
0.6221705675125122,0.8375,3.3591,833.551,52.097,6.0
0.48926734924316406,0.8764285714285714,3.3727,830.194,51.887,7.0
0.550392210483551,0.8564285714285714,3.3617,832.905,52.057,8.0
0.6106499433517456,0.8671428571428571,3.366,831.838,51.99,9.0
0.5403624176979065,0.8717857142857143,3.3638,832.383,52.024,10.0
0.6786946058273315,0.8717857142857143,3.362,832.832,52.052,11.0
0.5925370454788208,0.8739285714285714,3.3477,836.4,52.275,12.0
0.6355772614479065,0.8667857142857143,3.3535,834.945,52.184,13.0
0.6471569538116455,0.8510714285714286,3.3518,835.373,52.211,14.0
0.7044478058815002,0.8642857142857143,3.3567,834.162,52.135,15.0
0.6945559978485107,0.8621428571428571,3.3635,832.47,52.029,16.0
0.7317614555358887,0.8610714285714286,3.3438,837.371,52.336,17.0
0.6581573486328125,0.8682142857142857,3.3493,835.986,52.249,18.0
0.8356347680091858,0.8435714285714285,3.3587,833.661,52.104,19.0
0.7198260426521301,0.8632142857142857,3.3633,832.526,52.033,20.0
0.7569258213043213,0.8635714285714285,3.3535,834.951,52.184,21.0
0.788796067237854,0.8675,3.3458,836.875,52.305,22.0
0.7962968945503235,0.8532142857142857,3.3796,828.496,51.781,23.0
0.7532849311828613,0.8632142857142857,3.3457,836.908,52.307,24.0
0.7653872966766357,0.8653571428571428,3.3737,829.944,51.872,25.0
