loss,accuracy,runtime,samples_per_second,steps_per_second,epoch
0.4406198561191559,0.86,3.7996,736.914,23.16,1.0
0.5083897113800049,0.8767857142857143,3.8205,732.889,23.034,2.0
0.5127761363983154,0.8707142857142857,3.8016,736.537,23.148,3.0
0.5749191641807556,0.8553571428571428,3.8093,735.047,23.101,4.0
0.6096934080123901,0.8553571428571428,3.8085,735.2,23.106,5.0
0.5991480350494385,0.8678571428571429,3.805,735.867,23.127,6.0
0.5714433193206787,0.865,3.7933,738.148,23.199,7.0
0.6202093362808228,0.8528571428571429,3.8253,731.975,23.005,8.0
0.5860876441001892,0.855,3.8204,732.903,23.034,9.0
0.6315739154815674,0.8685714285714285,3.8232,732.374,23.017,10.0
0.585725724697113,0.865,3.8174,733.478,23.052,11.0
0.5998677015304565,0.8667857142857143,3.8164,733.685,23.059,12.0
0.6587268710136414,0.825,3.8307,730.944,22.973,13.0
0.5529373288154602,0.8753571428571428,3.8229,732.433,23.019,14.0
0.587708592414856,0.8467857142857143,3.8295,731.169,22.98,15.0
0.6338287591934204,0.8614285714285714,3.8337,730.369,22.954,16.0
0.6673875451087952,0.8614285714285714,3.8181,733.347,23.048,17.0
0.6839941143989563,0.8660714285714286,3.8189,733.192,23.043,18.0
0.7331977486610413,0.8546428571428571,3.8194,733.096,23.04,19.0
0.6960471868515015,0.8721428571428571,3.8479,727.664,22.869,20.0
0.673578679561615,0.8682142857142857,3.8414,728.907,22.909,21.0
0.7445633411407471,0.8717857142857143,3.8362,729.881,22.939,22.0
0.747498631477356,0.875,3.846,728.029,22.881,23.0
0.7163649797439575,0.8725,3.8397,729.23,22.919,24.0
0.7173029184341431,0.8735714285714286,3.8344,730.237,22.95,25.0
